"Gene" "GATAdSY" "GATAdNS" "CG11504SY" "CG11504NS" "Cf2.IISY" "Cf2.IINS" "jimSY" "jimNS" "MitfSY" "MitfNS" "CG5953SY" "CG5953NS" "MadSY" "MadNS" "TrlSY" "TrlNS" "CG3407SY" "CG3407NS" "CG12236.PBSY" "CG12236.PBNS" "HLHmbetaSY" "HLHmbetaNS" "jigr1SY" "jigr1NS" "Deaf1SY" "Deaf1NS" "MedSY" "MedNS" "lolaSY" "lolaNS" "HgtxSY" "HgtxNS" "MetSY" "MetNS" "Aef1SY" "Aef1NS" "netSY" "netNS" "CG3838SY" "CG3838NS" "ExdSY" "ExdNS" "ttk.PFSY" "ttk.PFNS" "CG15601SY" "CG15601NS" "Lag1SY" "Lag1NS" "aseSY" "aseNS" "atoSY" "atoNS" "D19ASY" "D19ANS" "srpSY" "srpNS" "ftz.f1SY" "ftz.f1NS" "brSY" "brNS" "ClkSY" "ClkNS" "lunaSY" "lunaNS" "brkSY" "brkNS" "catoSY" "catoNS" "tgoSY" "tgoNS" "Hr78SY" "Hr78NS" "HandSY" "HandNS" "Fer3SY" "Fer3NS" "AchiSY" "AchiNS" "br.Z4SY" "br.Z4NS" "pnrSY" "pnrNS" "br.Z2SY" "br.Z2NS" "CG9437SY" "CG9437NS" "br.Z1SY" "br.Z1NS" "Eip74EFSY" "Eip74EFNS" "OliSY" "OliNS" "Xrp1SY" "Xrp1NS" "deiSY" "deiNS" "zSY" "zNS" "CtSY" "CtNS" "MioSY" "MioNS" "apSY" "apNS" "EcRSY" "EcRNS" "br.PLSY" "br.PLNS" "lola.PASY" "lola.PANS" "lola.PCSY" "lola.PCNS" "lola.PDSY" "lola.PDNS" "foxoSY" "foxoNS" "Cf2.PASY" "Cf2.PANS" "MaxSY" "MaxNS" "lola.PJSY" "lola.PJNS" "lola.PLSY" "lola.PLNS" "br.PASY" "br.PANS" "lola.POSY" "lola.PONS" "lola.PQSY" "lola.PQNS" "lola.PTSY" "lola.PTNS" "lola.PUSY" "lola.PUNS" "lola.PWSY" "lola.PWNS" "lola.PYSY" "lola.PYNS" "panSY" "panNS" "sqzSY" "sqzNS" "Adf1SY" "Adf1NS" "br.Z3SY" "br.Z3NS" "l.1.scSY" "l.1.scNS" "Cf2.PBSY" "Cf2.PBNS" "kaySY" "kayNS" "CG11294SY" "CG11294NS" "exdSY" "exdNS" "lola.PGSY" "lola.PGNS" "ApSY" "ApNS" "scSY" "scNS" "sdSY" "sdNS" "Length" "Set"
"19211" "CG6937" 0.2 0 0 0 3 0.4 0.2 0 0.2 0 0 0 0 0 0 0 0 0 0.4 0.2 0 0 0 0.2 2.4 0.6 0.2 0 0 0 1.4 0 0 0 1 0.2 0.2 0 0 0 1.6 0.2 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0.6 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 1.4 1 5.4 0.4 1.4 0 1.8 1 0 0.2 0.6 0.4 0.2 0 0 0 0.4 0 0.2 0 0.6 0 0.6 0.4 0 0 6.4 2.8 0 0 0.2 0 0 0.2 0 0 0 0 0.6 0 1 0 0 0 0.6 0 0 0 0.4 0 0.2 0.2 0 0 0 0 0 0 0.4 0 0.2 0 0.8 0 0.6 0 0 0.2 1.8 0.4 0 0 0.2 0 0 0 0.8 0 7.6 1.8 0.2 0 1.4 0.4 0 0 0.2 0.2 5 "Top500"
"1922" "CG6966" 0 0.333 0 0.333 1 1 0 0 0 0 0 0 0 0 0.667 0.333 0.333 0 1 0 0 0 0 0 1.333 1 0 0 0 0 1.333 0 0.667 0 1.667 0.333 0.667 0 0 0 1.333 0.333 0 0 0 0 0 0 0.333 0 0.667 0 0 0 1 0 0.667 0 0.667 0 0 0 0 0 0 0 0 0.333 1 0 0 0 0 0 0 0 0.667 0.333 4.667 1.667 0.333 0 0 1 0.333 0 1.333 0 0.333 0 0.667 0 0 0 0.667 0 0 0 1 0 0 0 8.333 5.333 0 0.333 0 0 1 0.333 0.667 0 0 0 1.333 0 0.667 0 0 0 0.333 0 0 0 0.667 0 0.333 0.333 1 0 0 0 0 0 0 0 0.333 0 1 0 0 0 0.333 0 0.333 0.667 0 0 0 0 0 0 0.667 0 3.667 0.667 0.667 0 1.667 1 0.333 0 0 0 3 "Top500"
"1923" "CG7137" 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 7 1 0 0 0 0 4 0 0 1 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 1 0 0 1 0 0 0 3 0 7 5 0 0 4 0 0 0 0 0 1 "Top500"
"1924" "CG7197" 0.5 0 0 0 2 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0.5 1 0.5 0 0 0 0 0 0 0 0 0 2 0 2.5 0.5 0.5 0 0.5 0.5 0 0 0.5 0 0 0 0.5 0 0 0 0.5 0 0 0 1 0 0 0 3 2 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.5 0 1 0.5 0 0 0.5 0 0 0 0 0 2 "Top500"
"1925" "CG7246" 0 0 0 0 0.833 1.833 3.5 0 0.167 0 0 0 0.167 0 0 0 0.167 0 0.333 0.167 0 0 0 0 1.333 1 0.167 0 0 0 1.167 0.167 0.167 0 0.167 0.333 0.167 0 0.167 0 1.167 0.5 0 0 0.167 0 0 0.167 0 0 1 0 0 0 0 0 0.333 0 0.167 0 0 0 0 0 0.167 0.333 0 0 0.333 0 0 0 0.333 0 0 0 0.833 0.167 2.667 0.833 0.333 0 0.667 0.833 0 0 0.833 0.333 0 0 0 0 0 0 0 0 0.167 0 0 0.167 0 0 3.667 3.667 0 0 0 0 0.167 0.167 0.333 0 0 0 0.167 0.333 0.5 0.333 0 0 0.167 0 0.167 0 0.667 0.333 0.167 0.167 0.5 0 0.5 0.167 0.167 0.167 0 0.167 0.167 0 0.667 0.333 2.167 0 0.167 0 1.167 1.167 0 0 0.167 0.5 0 0 1.333 0 6 2.167 0 0 1.333 0.333 0 0 0 0 6 "Top500"
"1926" "CG7338" 0 0 0 0 2.5 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 1 1.5 0 0 0 0 2 1.5 0 0 1.5 0.5 1.5 0 0 0 2 1 0.5 0.5 0.5 0 0 0.5 1 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0.5 7 0.5 1 0 0.5 0.5 0 0 1.5 0.5 0 0 0.5 0 0 0 0 0 0.5 0 1.5 1 0 0 10.5 3.5 0.5 0 0 0 0.5 0 0.5 0.5 0 0 0 0 1 0 0 0 0.5 0 0 0 2 0 1 1 0 0 0.5 0 1 0 0.5 0 0 0.5 1.5 0.5 0 0 0 0 3 1 0 0 0 0 0 0 3.5 1 3.5 1 0.5 0 4 2 0.5 0 0 0 2 "Top500"
"1927" "CG7371" 0.25 0 0 0 1.5 1 0 0 0 0 0 0 0 0 0.25 0 0 0 1.75 0 0 0 0 0 1.5 0.5 0.25 0 0 0 1 0 0 0 0 0 0.25 0 0 0 1.5 0 0 0 0 0 0.25 0 0.25 0 0.25 0 0.25 0 0.25 0 0.75 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0.5 0 0.25 0 1 1 3.25 0.5 0.75 0 0.5 0 0 0 1.5 0.25 0.25 0 0 0 0 0 0 0 0 0.25 1 0.25 0 0 2.75 2.5 0 0 0.25 0 0.5 0.5 0 0 0 0 0.25 0 0.25 0.25 0 0 0 0 0 0.25 0.75 0.25 0.25 0 0 0 0.5 0 0 0 0 0 0 0 1.5 0 0 0 0 0 1 0.75 0 0 0 0.5 0 0 0.75 0 6.25 2 0.25 0 0.5 0 0.25 0 0.5 0.25 4 "Top500"
"1928" "CG7530" 0.083 0 0.333 0 1.917 0.75 1 0 0.083 0 0.333 0.083 0.167 0 0.417 0.083 0 0 0.333 0.083 0 0 0.167 0 2.417 0.917 0 0 0.167 0 1.25 0 0.333 0 2 1.167 0.167 0 0.083 0 0.417 0 0 0 0.417 0 0 0 0.167 0 0.5 0.083 0 0 0.083 0 0.75 0 0.083 0 0 0 0.083 0 0.167 0.083 0 0 0.167 0 0.25 0 0 0 0 0 0.167 0.167 4.583 0.25 0.583 0 0.333 0.583 0.167 0 1 0.25 0.167 0.083 0 0 0 0 0.083 0 0.083 0.083 0.75 0.333 0.333 0 6.75 2.167 0 0 0.167 0 0.333 0 0.25 0 0.25 0 0.583 0 0.333 0.083 0 0 0.417 0 0.25 0 0.333 0 0 0 1.083 0 0.25 0 0.083 0.083 0.333 0 0.083 0.083 0.167 0.167 0.333 0 0.25 0.167 1.25 0.417 0 0 0.25 0 0 0 1.167 0 5.333 0.917 0.667 0 1.333 0.083 0.083 0 0.167 0 12 "Top500"
"1929" "CG7637" 0.5 0 0 0 4 1.5 0.5 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0.5 0 2 1 0 0 0 0 2 0.5 2 0 1.5 1.5 0 0 0.5 0 1.5 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 1 0 0 0 0.5 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 1 0 6.5 0.5 0.5 0 1.5 1.5 0 0 2 0 0.5 0 0 0 0 0 0 0 0 0 1.5 1.5 0 0 10.5 3 0 0 0 0.5 1 0 0 0 0 0 1 0 1 0 1 0 0.5 0 0 0 0.5 0 0.5 0.5 1.5 0 0.5 0 0.5 0 0.5 0 0 0 1.5 0 0 0 1 0.5 1.5 1 0 0 1 0 0 0 2.5 0 9.5 1 1 0 2 1 0.5 0 0 0 2 "Top500"
"1930" "CG7728" 0 0 0 0 1.667 0.667 0.333 0 1 0 0.333 0 0 0 0 0 0 0 1 0 0 0 0.333 0 2.333 1.667 0 0 0 0 1 0 0 0 2.667 0.667 0 0 0 0 0.333 0.333 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.333 0 0 0 0 0 0 0.333 0 0 0.333 0 0 0 0 0 0 0 0 0 0.667 0 7.333 0.333 0.333 0 0.333 0.667 0 0 0.667 0.333 0 0 0 0 0 0 0 0 0 0 0.333 0 0 0 10 1.667 0 0 0.667 0 1.667 0.333 0 0 0 0 0 0 0.333 0 0 0 0.333 0 0.333 0 1.333 0 0 0 0.333 0 0 0 0 0 0 0 0 0 1 0 0.333 0 1 0.333 1 1.667 0 0 0.667 0 0 0 0.667 0 5.667 1 0 0 1.333 0 0 0 0 0 3 "Top500"
"19311" "CG7800" 0.333 0 0 0 1.333 0 1.333 0 0.333 0 0 0 0 0 0 0 0 0 1 0.667 0 0 0 0 3 0.333 0 0 0.667 0 0.333 0.333 0.333 0 0 0 0.333 0 0 0 0.333 0 0 0 0 0 0 0 0.333 0 0.667 0 0 0 0 0 0 0 0 0 0 0 0.333 0 0 0.667 0.333 0 0 0 0 0 0 0 0 0 1.333 0 2.667 0.667 0.333 0 0.667 0 0 0 0.667 0.667 0 0 0.333 0 0 0 0.333 0 0 0 0.333 1.333 0 0 3.667 1.333 0.333 0.333 0 0 0.333 0 0.333 0 0 0 0 0 1 0.333 0 0 0 0 0 0 0.333 0 0.333 0 0.333 0.333 0.333 0 0 0 1.333 0 0.333 0 0 0 0.333 0 0.333 0.333 0.333 0.667 0 0 0 0 0 0 0.333 0 6.333 0 0.333 0 1.333 0 0 0 0 0 3 "Top500"
"1932" "CG7837" 0.333 0 0 0 2 0.333 4.667 0 0.333 0 0 0 0.333 0 0 0 0.333 0 1.333 0 0 0 0.667 0 3.667 1.667 0 0 0 0 0.667 0 0 0 1.333 1.667 0 0 0.667 0 4 0.333 0 0 0.333 0 0 0 0 0 0 0 0 0 0.667 0 1.333 0.667 0 0.333 0 0 0 0 0 0.333 0.333 0 0.333 0 0 0 0 0 0 0 2.333 0 7 1 0.667 0 0.333 0 0 0 1 0 0 0 0 0 0 0 0 0 0.333 0 1 1 0.667 0 10 1 0.333 0 0 0 0 0 0 0 0.333 0 0.667 0 0.667 0 0 0 0.333 0 0 0 0.667 0 0.667 0 0 0 0 0 0 0 0 0.667 0.333 0.333 1.333 0 2 0 0.333 0.333 1.333 0.667 0 0 0 0 0 0 2.333 0 13.333 1 0.667 0 2 0.667 0 0 0 0 3 "Top500"
"1933" "CG7839" 0.5 0 0 0 4.5 3 0.5 0 0.5 0 0 0 0.5 0 0 0 0.5 0 1 0 0.5 0 0 0 3.5 0.5 0.5 0 0 0 1 0 0.5 0 3.5 0 0 0 0.5 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 1.5 0 0 0 0.5 0 1 0.5 1 0 0.5 0 0 0 0 0 0 0 0 0 0 0 7.5 1.5 1.5 0 0.5 0.5 0.5 0 1 0.5 0 0 0 0 0 0 0.5 0 0 0 0.5 1 0 0 5.5 6 0 0 0 0.5 0.5 0 0 0 0 0 0.5 0 0 0 1 0 0 0 0.5 0 1.5 0 0 0 1.5 0 0 0 0 0 0 0 0 0 1.5 0 0.5 0 0.5 0 2 1.5 0 0 0 0 0 0 1 0 8.5 2 1 0 2 0.5 0 0 0 0 2 "Top500"
"1934" "CG8010" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 6 3 0 0 3 0 0 0 0 0 3 2 0 0 0 0 1 0 2 0 16 6 0 0 2 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 6 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 20 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 7 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 18 2 0 0 1 0 0 0 1 0 1 "Top500"
"1935" "CG8026" 0 0 0 0 1.667 0 0 0 0.667 0 0 0 0 0.333 0 0 0 0 1.333 0.667 0.333 0 0 0 2.333 1 0 0 0 0 0 0 0 0 1.667 0 0 0 0.333 0 0.333 0 0 0 0.333 0 0 0 0 0 0.333 0 0 0 0.333 0 1.667 0 0 0 0.333 0 0 0 0.333 0 0.333 0 0.667 0 0.333 0 0 0 0 0 0.667 0 4 0 1.333 0 1 0 0 0 0.333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.667 0 6 1 0 0 0 0 0.667 0.333 0.333 0 0 0 1 0 0 0 0 0 0.667 0 0 0 0.333 0 0.333 1 0.333 0 0 0 0 0 0 0 0 0 0.667 0 0 0 0 0.333 1.333 0.333 0 0 0 0 0 0 0 0 3.333 0 0.333 0 0.667 0 0 0 0 0 3 "Top500"
"1936" "CG8064" 0 0 0 0 2 0.8 0.2 0 0.4 0 0.2 0 0.2 0.2 0 0 0 0.2 0.6 0 0 0 0 0 1.4 1 0 0 0.4 0.6 2 0 0 0 0 0.6 0.2 0 0 0 1.6 0 0 0 0.6 0 0 0 0.2 0 0.6 0 0 0 0.6 0 0.6 0 0.2 0 0 0 0 0 0.2 0.4 0.2 0 0.2 0 0 0 0.4 0 0.2 0 0.6 0.2 3.4 0.2 1.4 0 1.4 0.2 0.6 0 0.4 0.6 0 0 0.2 0 0 0 0 0 0 0 0.2 0.2 0.4 0 5 3.4 0 0 0.6 0 1.6 0.6 0.2 0 0 0.2 0.4 0.4 0.4 0 0 0 0 0 0 0 0.6 0 0 0.2 0.2 0 0.4 0 0 0 0 0 0 0.2 1 0 0.2 0 0 0 0.8 0.6 0 0 0 0 0 0 2 0 5 1.6 0.8 0 1.8 0.4 0 0 0 0 5 "Top500"
"1937" "CG8080" 0 0.5 0 0 1.5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0.5 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 4 0.5 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 1 0.5 0.5 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 1 0.5 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 1 0 0 0 0 0.5 0 0 0 1 0 0 0 0 0 6 1 0.5 0 0.5 0 0 0 0 0 2 "Top500"
"1938" "CG8199" 0 0 0 0 2.5 0 0 0 0.5 0 0 0 0 0 1 1.5 0.5 0 0.5 0 0 0 0 0 2.5 0.5 0 0 0 0 0 0 0.5 0 1.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 1 0 0 0 0 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0 0 0 2 0.5 3 0.5 0.5 0 0.5 1 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.5 1 0 5 1 0 0 0 0 1 0 1 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.5 0 3.5 0 0 0 0 0 0 0 0 0 2 "Top500"
"1939" "CG8292" 0 0 0 0 2 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 1 0 0 0 0 0 1 0 0.5 0 1 1 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 1 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 5.5 0.5 0 0 0 0 1 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0.5 0 1 0 0 0 0.5 0 0 0 0 0 1 0 0 0 0 0 1 0 0.5 0 3 0.5 0 0 0.5 0 0 0 0 0 2 "Top500"
"1940" "CG8326" 0 0 0 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 3 1 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 13 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 6 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 11 3 0 0 1 0 0 0 0 0 1 "Top500"
"19411" "CG8326" 0 0 0 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 3 1 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 13 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 6 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 11 3 0 0 1 0 0 0 0 0 1 "Top500"
"1942" "CG8368" 0.25 0 0 0 2.25 1.5 0 0 0 0 0.25 0 0.5 0.75 0 0 0.25 0 0.25 0.25 0 0 0.25 0 2.75 0.75 0 0 0.75 0 0.25 0.25 0.25 0 0.75 0.75 0.25 0 0.25 0.25 1.75 0.25 0 0 0.25 0.25 0 0 0 0 1 0 0 0 0.5 0 1 0 0 0 0 0 0 0 0.25 0 0.25 0 0.25 0 0 0 0 0 0 0 1.25 0 6.75 0.25 1.25 0 1.75 0.25 0.25 0 1.5 0 0 0 0.5 0 0 0 0.5 0 0 0 1.25 0.75 0 0 7.5 2.75 0 0 0 0 1.25 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0.25 1 0 0.25 0 0.5 0 0.25 0 0.25 0 1 0 0 0 1 0 0 0 0.5 0 1.75 0.5 0 0 0.25 0.5 0 0 1.25 0 6 0.75 0.25 0 1.5 0.25 0 0 0 0 4 "Top500"
"1943" "CG8388" 0.5 0 0 0 1.75 1.25 0 0 0 0 0.25 0 0.5 0.25 0 0.5 0.25 0 2.25 0.25 0.25 0 0 0 4.75 2.25 0.25 0.25 0 0 1.25 0.25 0 0 0.75 0.5 0.5 0 0 0 0.75 0.25 0.5 0 0 0 0 0 0.25 0 0.5 0 0 0 0.75 0 1.5 0 0.5 0 0 0 0 0 0.75 0.5 0 0 0 0 0 0 0.5 0 0 0 0.25 0 6.25 0.25 0.5 0 0.5 0 0 0 1 0 0 0 0.5 0 0 0 0.25 0 0 0.5 1.25 0.75 0 0 9 3 1 0 0 0 0.75 0 0 0 0 0 1 0 0.5 0 0 0 0 0.25 0 0 1.25 0 0.5 0.25 0.5 0 0.25 0 0 0.25 0.25 0 0 0 1.75 0.25 0 0 0.5 0.5 1.5 0.25 0.25 0 0 0 0 0 0.75 0 9.25 3.5 0.75 0.5 1.5 0 0.25 0 0.5 0 4 "Top500"
"1944" "CG8414" 0.167 0 0 0 1.5 0.333 0 0 0.5 0 0.167 0 0.167 0 0.333 0 0 0 1 0 0 0 0 0 2 0.833 0 0 0 0.167 0 0 0.333 0 1 0.167 0.167 0 0.167 0 1 0 0 0 0 0 0 0 0 0 0.333 0 0 0 0.5 0 0.5 0.167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333 0 3.167 0.167 0.333 0 0.5 0 0.167 0 2.167 0.167 0 0 0.167 0 0.667 0 0.167 0 0.167 0 0.667 0.167 0.333 0 4.167 0.667 0 0 0 0.167 0.5 0 0.5 0 0.167 0.167 0.167 0 0.333 0 0 0 0.167 0 0.167 0 0.5 0 0 0 0.5 0 0.167 0 0 0 0 0 0 0 0.667 0 0 0 0.167 0 1 0.5 0 0 0.333 0.167 0 0 1 0 3 0.5 0.5 0 0.667 0 0 0 0.167 0 6 "Top500"
"1945" "CG8611" 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 9 3 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 11 8 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 1 0 5 1 0 0 2 0 0 0 1 0 1 "Top500"
"1946" "CG8777" 0.5 0 0 0 1.5 0 0 0 0 0.5 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 2.5 2 0 0 0 0 0 0 0 1 0 1 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.5 0.5 0 1.5 0.5 0 0 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 2.5 2 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0.5 1 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0.5 0 0 0 0.5 0 3 1.5 0.5 0 0 0 0 0 0 0 2 "Top500"
"1947" "CG8866" 0.4 0 0 0 3.6 1 1.6 0.4 0 0 0.2 0 0 0 0 0 0 0 1.2 0 0 0 0.2 0 1.6 2.2 0 0 1 0 2.4 0.4 0.4 0 0.6 0.8 0 0 0 0 0.6 0.2 0.6 0 0.6 0 0 0 0 0 0.6 0 0 0 0.6 0.2 0.6 0 0.2 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0 7.2 1 1.8 0 1 2 0 0 1.4 0.4 0 0.2 0 0 0.4 0 0 0 0 0 0.8 0.2 0.4 0 7 4 0 0 0.8 0 1 0.2 0 0 0 0 0.2 0 0.2 0 0.4 0 0.4 0 0 0 0.6 0 0 0.4 0.8 0 0.4 0 0.2 0 0.2 0.4 0 0 1.4 0 2.2 0 0.4 0 2.4 1.2 0 0 0.2 0 0.6 0.6 1.4 0 11 1 0.4 0 2 0.4 0 0 0.4 0 5 "Top500"
"1948" "CG8939" 1 0 0 0 5 3 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 1 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 0 0 2 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 13 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 10 0 0 0 1 1 0 0 1 0 0 0 1 0 6 0 0 0 1 0 0 0 1 0 1 "Top500"
"1949" "CG8939" 1 0 0 0 5 3 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 1 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 0 0 2 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 13 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 10 0 0 0 1 1 0 0 1 0 0 0 1 0 6 0 0 0 1 0 0 0 1 0 1 "Top500"
"1950" "CG9246" 0 0 0 0 1.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 0 0.5 1 0 0 0.5 0 1 0 0 0 0.5 0.5 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 5 0.5 0.5 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.5 2 0 0 0.5 0 0.5 0 3 0 0 0 0 0 0.5 0 0 0 1 0 0 0 0.5 0 0 0 0 0 1 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 3 0.5 0 0 0 0 0 0 1 0 3 0.5 1 0 0.5 0.5 0 0 0 0 2 "Top500"
